GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10.1,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts,player_name
2024-11-23,NYK @ UTA,UTA,1628973,22400264,0,3.0,27.0,25.1,33.8,35.6,18.0,6.6,23.504,120.8,120.8,234.2,113.4,23,jalen_brunson
2024-11-23,LAL vs. DEN,DEN,2544,22400270,1,2.0,25.6,25.4,36.6,36.3,18.4,6.4,26.616,114.4,114.4,231.7,117.3,18,lebron_james
2024-11-23,GSW @ SAS,SAS,201939,22400269,0,1.0,23.6,23.5,31.2,30.2,16.0,3.0,21.12,113.4,113.4,226.5,113.1,14,stephen_curry
2024-11-24,MIN @ BOS,BOS,1630162,22400271,0,3.0,27.2,27.0,38.8,36.1,21.0,3.6,24.584,109.2,109.2,227.0,117.8,28,anthony_edwards
2024-11-25,NYK @ DEN,DEN,1628973,22400283,0,2.0,26.8,24.5,34.4,35.1,17.8,6.6,23.304,112.7,112.7,231.1,118.4,23,jalen_brunson
2024-11-25,OKC @ SAC,SAC,1628983,22400285,0,5.0,30.6,30.0,36.0,35.6,21.6,7.6,27.144,112.0,112.0,223.6,111.6,37,shai_gilgeous-alexander
2024-11-25,GSW vs. BKN,BKN,201939,22400284,1,2.0,19.0,23.1,30.6,30.7,13.8,2.2,18.368,113.0,113.0,220.9,107.9,28,stephen_curry
2024-11-26,MIN vs. HOU,HOU,1630162,22400037,1,2.0,27.6,27.7,39.2,36.4,21.4,3.2,25.208,103.7,103.7,217.5,113.8,29,anthony_edwards
2024-11-26,LAL @ PHX,PHX,2544,22400039,0,3.0,22.2,24.5,36.2,36.2,17.4,5.4,25.176,117.3,117.3,228.3,111.0,18,lebron_james
2024-11-27,MIN vs. SAC,SAC,1630162,22400294,1,1.0,28.6,28.5,39.8,37.8,20.8,4.4,25.136000000000003,114.3,114.3,224.6,110.3,29,anthony_edwards
2024-11-27,NYK @ DAL,DAL,1628973,22400292,0,2.0,24.0,24.7,35.2,35.2,16.6,4.8,21.112,113.6,113.6,233.2,119.6,37,jalen_brunson
2024-11-27,LAL @ SAS,SAS,2544,22400296,0,1.0,22.8,24.3,35.6,35.7,18.2,5.0,25.4,110.3,110.3,226.2,115.9,16,lebron_james
2024-11-27,OKC @ GSW,GSW,1628983,22400299,0,2.0,32.2,31.6,36.4,35.6,20.6,9.2,27.648000000000003,113.8,113.8,228.8,115.0,35,shai_gilgeous-alexander
2024-11-29,MIN vs. LAC,LAC,1630162,22400044,1,2.0,27.2,28.1,38.8,38.0,20.2,5.6,24.864,107.6,107.6,217.7,110.1,21,anthony_edwards
2024-11-29,DET @ IND,IND,1630595,22400045,0,5.0,24.8,23.0,36.6,36.7,22.6,5.8,29.152,116.5,116.5,231.6,115.1,24,cade_cunningham
